content_id,type,content,view_count,like_count,share_count,updated_at,created_at
9pRtYqWxKz,instagram,오늘은 날씨가 정말 좋네요! 햇빛이 화사하게 비치고 있어서 밖에서 산책하며 즐거운 시간을 보내고 있어요. 🌞🚶‍♀️ #날씨좋아 #산책 #햇빛,1000,500,500,,
L3mN0oP3iQ,instagram,"새로운 레스토랑에서 저녁을 먹었어요. 그들의 파스타는 정말 맛있었고, 분위기도 좋았어요! 다음 번에도 꼭 다시 방문할 거예요. 🍝🍷 #맛집 #음식 #저녁식사",1000,500,500,,
dV8fGhIu4J,instagram,방금 새로운 책을 다 읽었어요. 이 소설은 정말 감동적이고 여운이 남는 내용이었어요. 다음 읽을 책을 골라야겠어요. 📚❤️ #독서 #책추천 #소설,1000,500,500,,
A6bC6DyZfE,instagram,오늘은 친구들과 함께 영화를 보러 갔어요. 그 영화는 웃음과 감동으로 가득 차 있었어요. 함께 있는 시간이 정말 즐거웠어요. 🎥🍿 #영화 #친구 #즐거운시간,1000,500,500,,
XyZ4aBcD12e,instagram,요즘 드라이브를 정말 즐기고 있어요. 오늘은 산과 바다를 배경으로 아름다운 풍경을 감상하며 드라이브 투어를 즐겼어요. 🚗🏞️ #드라이브 #풍경 #산바다,1000,500,500,,
10pRtYqWxKz,instagram,오늘은 날씨가 정말 좋네요! 햇빛이 화사하게 비치고 있어서 밖에서 산책하며 즐거운 시간을 보내고 있어요. 🌞🚶‍♀️ #날씨좋아 #산책 #햇빛,1000,500,500,,
L3mN0oP4iQ,instagram,"새로운 레스토랑에서 저녁을 먹었어요. 그들의 파스타는 정말 맛있었고, 분위기도 좋았어요! 다음 번에도 꼭 다시 방문할 거예요. 🍝🍷 #맛집 #음식 #저녁식사",1000,500,500,,
dV8fGhIu5J,instagram,방금 새로운 책을 다 읽었어요. 이 소설은 정말 감동적이고 여운이 남는 내용이었어요. 다음 읽을 책을 골라야겠어요. 📚❤️ #독서 #책추천 #소설,1000,500,500,,
A6bC7DyZfE,instagram,오늘은 친구들과 함께 영화를 보러 갔어요. 그 영화는 웃음과 감동으로 가득 차 있었어요. 함께 있는 시간이 정말 즐거웠어요. 🎥🍿 #영화 #친구 #즐거운시간,1000,500,500,,
XyZ4aBcD10e,instagram,요즘 드라이브를 정말 즐기고 있어요. 오늘은 산과 바다를 배경으로 아름다운 풍경을 감상하며 드라이브 투어를 즐겼어요. 🚗🏞️ #드라이브 #풍경 #산바다,1000,500,500,,
L3mN0oP3xiQ,instagram,오늘은 날씨가 정말 좋네요! 햇빛이 화사하게 비치고 있어서 밖에서 산책하며 즐거운 시간을 보내고 있어요. 🌞🚶‍♀️ #날씨좋아 #산책 #햇빛,1000,500,500,,
Vp9rYiGxWk,instagram,"새로운 레스토랑에서 저녁을 먹었어요. 그들의 파스타는 정말 맛있었고, 분위기도 좋았어요! 다음 번에도 꼭 다시 방문할 거예요. 🍝🍷 #맛집 #음식 #저녁식사",1000,500,500,,
Qf3Ld7AeYb,thread,방금 새로운 책을 다 읽었어요. 이 소설은 정말 감동적이고 여운이 남는 내용이었어요. 다음 읽을 책을 골라야겠어요. 📚❤️ #독서 #책추천 #소설,1000,500,500,,
hN5XtRzGvs,thread,오늘은 친구들과 함께 영화를 보러 갔어요. 그 영화는 웃음과 감동으로 가득 차 있었어요. 함께 있는 시간이 정말 즐거웠어요. 🎥🍿 #영화 #친구 #즐거운시간,1000,500,500,,
WU2cJzZ8Fx,thread,요즘 드라이브를 정말 즐기고 있어요. 오늘은 산과 바다를 배경으로 아름다운 풍경을 감상하며 드라이브 투어를 즐겼어요. 🚗🏞️ #드라이브 #풍경 #산바다,1000,500,500,,
oPq6KwH1Ie,thread,오늘은 날씨가 정말 좋네요! 햇빛이 화사하게 비치고 있어서 밖에서 산책하며 즐거운 시간을 보내고 있어요. 🌞🚶‍♀️ #날씨좋아 #산책 #햇빛,1000,500,500,,
Vp10rYiGxWk,thread,"새로운 레스토랑에서 저녁을 먹었어요. 그들의 파스타는 정말 맛있었고, 분위기도 좋았어요! 다음 번에도 꼭 다시 방문할 거예요. 🍝🍷 #맛집 #음식 #저녁식사",1000,500,500,,
Qf3Ld8AeYb,thread,방금 새로운 책을 다 읽었어요. 이 소설은 정말 감동적이고 여운이 남는 내용이었어요. 다음 읽을 책을 골라야겠어요. 📚❤️ #독서 #책추천 #소설,1000,500,500,,
hN6XtRzGvs,thread,오늘은 친구들과 함께 영화를 보러 갔어요. 그 영화는 웃음과 감동으로 가득 차 있었어요. 함께 있는 시간이 정말 즐거웠어요. 🎥🍿 #영화 #친구 #즐거운시간,1000,500,500,,
WU2cJzZ9Fx,thread,요즘 드라이브를 정말 즐기고 있어요. 오늘은 산과 바다를 배경으로 아름다운 풍경을 감상하며 드라이브 투어를 즐겼어요. 🚗🏞️ #드라이브 #풍경 #산바다,1000,500,500,,
oPq6KwH2Ie,thread,오늘은 날씨가 정말 좋네요! 햇빛이 화사하게 비치고 있어서 밖에서 산책하며 즐거운 시간을 보내고 있어요. 🌞🚶‍♀️ #날씨좋아 #산책 #햇빛,1000,500,500,,
Vp11rYiGxWk,thread,"새로운 레스토랑에서 저녁을 먹었어요. 그들의 파스타는 정말 맛있었고, 분위기도 좋았어요! 다음 번에도 꼭 다시 방문할 거예요. 🍝🍷 #맛집 #음식 #저녁식사",1000,500,500,,
Qf3Ld9AeYb,thread,방금 새로운 책을 다 읽었어요. 이 소설은 정말 감동적이고 여운이 남는 내용이었어요. 다음 읽을 책을 골라야겠어요. 📚❤️ #독서 #책추천 #소설,1000,500,500,,
hN7XtRzGvs,thread,오늘은 친구들과 함께 영화를 보러 갔어요. 그 영화는 웃음과 감동으로 가득 차 있었어요. 함께 있는 시간이 정말 즐거웠어요. 🎥🍿 #영화 #친구 #즐거운시간,1000,500,500,,
WU2cJzZ10Fx,thread,요즘 드라이브를 정말 즐기고 있어요. 오늘은 산과 바다를 배경으로 아름다운 풍경을 감상하며 드라이브 투어를 즐겼어요. 🚗🏞️ #드라이브 #풍경 #산바다,1000,500,500,,
oPq6KwH3Ie,twitter,오늘은 날씨가 정말 좋네요! 햇빛이 화사하게 비치고 있어서 밖에서 산책하며 즐거운 시간을 보내고 있어요. 🌞🚶‍♀️ #날씨좋아 #산책 #햇빛,1000,500,500,,
Vp12rYiGxWk,twitter,"새로운 레스토랑에서 저녁을 먹었어요. 그들의 파스타는 정말 맛있었고, 분위기도 좋았어요! 다음 번에도 꼭 다시 방문할 거예요. 🍝🍷 #맛집 #음식 #저녁식사",1000,500,500,,
Qf3Ld10AeYb,twitter,방금 새로운 책을 다 읽었어요. 이 소설은 정말 감동적이고 여운이 남는 내용이었어요. 다음 읽을 책을 골라야겠어요. 📚❤️ #독서 #책추천 #소설,1000,500,500,,
hN8XtRzGvs,twitter,오늘은 친구들과 함께 영화를 보러 갔어요. 그 영화는 웃음과 감동으로 가득 차 있었어요. 함께 있는 시간이 정말 즐거웠어요. 🎥🍿 #영화 #친구 #즐거운시간,1000,500,500,,
WU2cJzZ11Fx,twitter,요즘 드라이브를 정말 즐기고 있어요. 오늘은 산과 바다를 배경으로 아름다운 풍경을 감상하며 드라이브 투어를 즐겼어요. 🚗🏞️ #드라이브 #풍경 #산바다,1000,500,500,,
oPq6KwH4Ie,twitter,오늘은 날씨가 정말 좋네요! 햇빛이 화사하게 비치고 있어서 밖에서 산책하며 즐거운 시간을 보내고 있어요. 🌞🚶‍♀️ #날씨좋아 #산책 #햇빛,1000,500,500,,
Vp13rYiGxWk,twitter,"새로운 레스토랑에서 저녁을 먹었어요. 그들의 파스타는 정말 맛있었고, 분위기도 좋았어요! 다음 번에도 꼭 다시 방문할 거예요. 🍝🍷 #맛집 #음식 #저녁식사",1000,500,500,,
Qf3Ld11AeYb,twitter,방금 새로운 책을 다 읽었어요. 이 소설은 정말 감동적이고 여운이 남는 내용이었어요. 다음 읽을 책을 골라야겠어요. 📚❤️ #독서 #책추천 #소설,1000,500,500,,
hN9XtRzGvs,twitter,오늘은 친구들과 함께 영화를 보러 갔어요. 그 영화는 웃음과 감동으로 가득 차 있었어요. 함께 있는 시간이 정말 즐거웠어요. 🎥🍿 #영화 #친구 #즐거운시간,1000,500,500,,
WU2cJzZ12Fx,twitter,요즘 드라이브를 정말 즐기고 있어요. 오늘은 산과 바다를 배경으로 아름다운 풍경을 감상하며 드라이브 투어를 즐겼어요. 🚗🏞️ #드라이브 #풍경 #산바다,1000,500,500,,
